lr-Adam,step,train_loss,train_acc,epoch,val_loss,val_acc
0.002042085889570552,49,,,,,
,49,1.2667653560638428,0.53515625,0,,
,97,,,0,1.3951083421707153,0.5491999983787537
0.003935030674846626,99,,,,,
,99,1.1294115781784058,0.611328125,1,,
0.0058279754601226995,149,,,,,
,149,0.9509154558181763,0.67578125,1,,
,195,,,1,1.064091444015503,0.6665999889373779
0.007720920245398773,199,,,,,
,199,0.7496499419212341,0.763671875,2,,
0.009613865030674846,249,,,,,
,249,0.7030306458473206,0.759765625,2,,
,293,,,2,1.0799801349639893,0.6901000142097473
0.01150680981595092,299,,,,,
,299,0.6633301377296448,0.75,3,,
0.013399754601226993,349,,,,,
,349,0.632899284362793,0.759765625,3,,
,391,,,3,0.7986651062965393,0.7269999980926514
0.015292699386503067,399,,,,,
,399,0.5054161548614502,0.82421875,4,,
0.017185644171779143,449,,,,,
,449,0.509806215763092,0.83984375,4,,
,489,,,4,1.5305914878845215,0.6123999953269958
0.018599580397422127,499,,,,,
,499,0.6544802784919739,0.76953125,5,,
0.01809748238453276,549,,,,,
,549,0.5269509553909302,0.8046875,5,,
,587,,,5,0.7665411829948425,0.7448999881744385
0.017595384371643395,599,,,,,
,599,0.4825669229030609,0.833984375,6,,
0.01709328635875403,649,,,,,
,649,0.4635315537452698,0.833984375,6,,
,685,,,6,0.6314216256141663,0.7896000146865845
0.016591188345864663,699,,,,,
,699,0.43788784742355347,0.82421875,7,,
0.016089090332975297,749,,,,,
,749,0.5169767141342163,0.8125,7,,
,783,,,7,0.5976487994194031,0.8057000041007996
0.015586992320085931,799,,,,,
,799,0.35944101214408875,0.87109375,8,,
0.015084894307196565,849,,,,,
,849,0.431343138217926,0.8515625,8,,
,881,,,8,0.6132829785346985,0.7975999712944031
0.014582796294307199,899,,,,,
,899,0.4121863543987274,0.86328125,9,,
0.014080698281417833,949,,,,,
,949,0.4154641628265381,0.859375,9,,
,979,,,9,0.4863731563091278,0.8356999754905701
0.013578600268528467,999,,,,,
,999,0.35153478384017944,0.87890625,10,,
0.0130765022556391,1049,,,,,
,1049,0.3788681924343109,0.865234375,10,,
,1077,,,10,0.4612748622894287,0.8442000150680542
0.012574404242749733,1099,,,,,
,1099,0.3820868730545044,0.86328125,11,,
0.012072306229860367,1149,,,,,
,1149,0.4086301326751709,0.859375,11,,
,1175,,,11,0.5133460164070129,0.8266000151634216
0.011570208216971,1199,,,,,
,1199,0.3638371527194977,0.8671875,12,,
0.011068110204081633,1249,,,,,
,1249,0.3594953119754791,0.86328125,12,,
,1273,,,12,0.5962849855422974,0.8044999837875366
0.010566012191192267,1299,,,,,
,1299,0.3018075227737427,0.892578125,13,,
0.0100639141783029,1349,,,,,
,1349,0.3304344117641449,0.8828125,13,,
,1371,,,13,0.5101072192192078,0.8346999883651733
0.009561816165413536,1399,,,,,
,1399,0.31928178668022156,0.890625,14,,
0.009059718152524168,1449,,,,,
,1449,0.38508889079093933,0.859375,14,,
,1469,,,14,0.5472989082336426,0.8219000101089478
0.008557620139634802,1499,,,,,
,1499,0.28830304741859436,0.90625,15,,
0.008055522126745436,1549,,,,,
,1549,0.2987484335899353,0.88671875,15,,
,1567,,,15,0.44799408316612244,0.8582000136375427
0.007553424113856068,1599,,,,,
,1599,0.23057468235492706,0.916015625,16,,
0.007051326100966704,1649,,,,,
,1649,0.2913691997528076,0.890625,16,,
,1665,,,16,0.44513431191444397,0.8578000068664551
0.006549228088077338,1699,,,,,
,1699,0.24532024562358856,0.912109375,17,,
0.006047130075187972,1749,,,,,
,1749,0.2582187056541443,0.916015625,17,,
,1763,,,17,0.4581718146800995,0.8526999950408936
0.005545032062298606,1799,,,,,
,1799,0.22048157453536987,0.9140625,18,,
0.0050429340494092395,1849,,,,,
,1849,0.2353067249059677,0.91015625,18,,
,1861,,,18,0.4062528908252716,0.8723999857902527
0.004540836036519873,1899,,,,,
,1899,0.1970219910144806,0.92578125,19,,
0.004038738023630506,1949,,,,,
,1949,0.22463321685791016,0.93359375,19,,
,1959,,,19,0.36757445335388184,0.8873000144958496
0.0035366400107411395,1999,,,,,
,1999,0.1755509376525879,0.921875,20,,
0.0030345419978517717,2049,,,,,
,2049,0.14807012677192688,0.955078125,20,,
,2057,,,20,0.3455550968647003,0.8963000178337097
0.0025324439849624056,2099,,,,,
,2099,0.13994476199150085,0.955078125,21,,
0.0020303459720730395,2149,,,,,
,2149,0.11234324425458908,0.9609375,21,,
,2155,,,21,0.3117623031139374,0.9046000242233276
0.0015282479591836734,2199,,,,,
,2199,0.07944082468748093,0.97265625,22,,
0.0010261499462943073,2249,,,,,
,2249,0.0849345251917839,0.962890625,22,,
,2253,,,22,0.28221824765205383,0.9190000295639038
0.0005240519334049412,2299,,,,,
,2299,0.07432924211025238,0.96875,23,,
2.1953920515575126e-05,2349,,,,,
,2349,0.0435815304517746,0.98828125,23,,
,2351,,,23,0.26821547746658325,0.9218999743461609
